file,class,method,variable,usage
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic.PostgresIntegrationTests$PropertiesLogger,onApplicationEvent/1[org.springframework.samples.petclinic.ApplicationPreparedEvent],environment,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic.PostgresIntegrationTests$PropertiesLogger,onApplicationEvent/1[org.springframework.samples.petclinic.ApplicationPreparedEvent],isFirstRun,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic.PostgresIntegrationTests$PropertiesLogger,printProperties/0,environment,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic.PostgresIntegrationTests$PropertiesLogger,printProperties/0,log,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic.PostgresIntegrationTests$PropertiesLogger,findPropertiesPropertySources/0,environment,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/Vets.java,org.springframework.samples.petclinic.vet.Vets,getVetList/0,vets,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,org.springframework.samples.petclinic.model.NamedEntity,getName/0,name,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,org.springframework.samples.petclinic.model.NamedEntity,setName/1[java.lang.String],name,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionHtml/0,rest,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionHtml/0,port,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionJson/0,rest,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionJson/0,port,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,testPrint/0,petTypeFormatter,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,setup/0,types,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,setup/0,petTypeFormatter,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldParse/0,types,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldParse/0,petTypeFormatter,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldThrowParseException/0,types,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldThrowParseException/0,petTypeFormatter,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,I18N_DIR,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,PROPERTIES,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,BASE_NAME,2
