id;sku;nome;modelo;cor;capacidade;preco;parcelas;valor_parcela;cores_disponiveis;outras_cores;cores_esgotadas;selo;url
14973479944552;09020;Garrafa Térmica Adventure 2.0 Ash Stanley 1913;Garrafa Térmica Adventure 2.0;Ash;1L;329.0;12x;27.41;4;Black 2.0, Polar, Toast;0;Novidade;https://www.stanley1913.com.br/products/adventure-2-0-1l-ash?variant=53974337847656
14973479911784;08891;Cuia Térmica Terere Slate Blue Stanley 1913;Cuia Térmica Terere;Slate Blue;200ml;175.0;12x;14.58;8;Azure, Black, Hammertone Green, Rose Quartz, Vivid Violet, Dried Pine, Stainless Steel;0;Novidade;https://www.stanley1913.com.br/products/cuia-terere-0-2l-slate-blue?variant=53974337814888
14973479879016;08941;Cuia Térmica Terere Stainless Steel Stanley 1913;Cuia Térmica Terere;Stainless Steel;200ml;175.0;12x;14.58;8;Azure, Black, Hammertone Green, Rose Quartz, Vivid Violet, Dried Pine, Slate Blue;0;Novidade;https://www.stanley1913.com.br/products/cuia-terere-0-2l-stainless-steel?variant=53974337782120
14973479846248;08683;Cuia Térmica Stainless Steel Stanley 1913;Cuia Térmica;Stainless Steel;236ml;175.0;12x;14.58;8;Messi Black, Dried Pine, Hammertone Black, Hammertone Green, Matte Red, Rose Quartz, Toast;0;Novidade;https://www.stanley1913.com.br/products/cuia-0-236l-stainless-steel?variant=53974337749352
14973479780712;09224;Camp Mug Rose Quartz Stanley 1913;Camp Mug;Rose Quartz;236ml;199.0;12x;16.58;8;Hammertone Black, Hammertone Green, Purple Smoke, Slate Blue, Ash, Coffee, Toast;0;Novidade;https://www.stanley1913.com.br/products/camp-mug-0-23l-rose-quartz?variant=53974337683816
14973479747944;08876;Camp Mug Ash Stanley 1913;Camp Mug;Ash;236ml;199.0;12x;16.58;8;Hammertone Black, Hammertone Green, Purple Smoke, Slate Blue, Coffee, Rose Quartz, Toast;0;Novidade;https://www.stanley1913.com.br/products/camp-mug-0-23l-ash?variant=53974337651048
14973479715176;09109;Camp Mug Coffee Stanley 1913;Camp Mug;Coffee;236ml;199.0;12x;16.58;8;Hammertone Black, Hammertone Green, Purple Smoke, Slate Blue, Ash, Rose Quartz, Toast;0;Novidade;https://www.stanley1913.com.br/products/camp-mug-0-23l-coffee?variant=53974337618280
14973479682408;09108;Camp Mug Toast Stanley 1913;Camp Mug;Toast;236ml;199.0;12x;16.58;8;Hammertone Black, Hammertone Green, Purple Smoke, Slate Blue, Ash, Coffee, Rose Quartz;0;Novidade;https://www.stanley1913.com.br/products/camp-mug-0-23l-toast?variant=53974337585512
14973479649640;09119;Pote Térmico com Garfolher Blue Sky Stanley 1913;Pote Térmico com Garfolher;Blue Sky;414ml;285.0;12x;23.75;4;Ash, Peach Rose, Cream;0;Novidade;https://www.stanley1913.com.br/products/pote-termico-0-4l-blue-sky?variant=53974337552744
14973479616872;09118;Pote Térmico com Garfolher Peach Rose Stanley 1913;Pote Térmico com Garfolher;Peach Rose;414ml;285.0;12x;23.75;4;Ash, Blue Sky, Cream;0;Novidade;https://www.stanley1913.com.br/products/pote-termico-0-4l-peach-rose?variant=53974337519976
14973479584104;09117;Pote Térmico com Garfolher Ash Stanley 1913;Pote Térmico com Garfolher;Ash;414ml;285.0;12x;23.75;4;Blue Sky, Peach Rose, Cream;0;Novidade;https://www.stanley1913.com.br/products/pote-termico-0-4l-ash?variant=53974337487208
14973479551336;09116;Pote Térmico com Garfolher Cream Stanley 1913;Pote Térmico com Garfolher;Cream;414ml;285.0;12x;23.75;4;Ash, Blue Sky, Peach Rose;0;Novidade;https://www.stanley1913.com.br/products/pote-termico-0-4l-cream?variant=53974337454440
14973473718632;09034;Garrafa Térmica Twist Flip Stanley 1913 Black 2.0.;Garrafa Térmica Twist Flip;Black 2.0;354ml;269.0;12x;22.41;6;Ash, Rose Quartz, Twilight, Cream Gloss, Dried Pine;0;Novidade;https://www.stanley1913.com.br/products/garrafa-twistflip-cafe-black-2-0-354ml?variant=53974312943976
14973472309608;09140;Copo Quencher Sea Glass Plume Stanley 1913;Copo Quencher;Sea Glass Plume;591ml;289.0;12x;24.08;10;Cornflower Chevron, Cream Chevron, Cream, Peach Rose, Plumeria Chevron, Purple Dust, Pomelo, Sea Foam, Rose Quartz;0;Novidade;https://www.stanley1913.com.br/products/quencher-0-59l-sea-glass-plume?variant=53974306161000
