produto_id;produto;capacidade;cor;titulo_da_cor;esgotado;e_a_cor_do_card
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Frost;Garrafa Térmica Aerolight Flip Straw Heat Wave Frost Stanley 1913 | 710ML;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Vivid Violet;Garrafa Térmica Aerolight Flip Straw Heat Wave Vivid Violet Stanley 1913 | 710ML;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Apple Shimmer;Garrafa Térmica Aerolight Flip Straw Stanley 1913 Candy Apple Shimmer  | 710ML;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Clover Shimmer;Garrafa Térmica Aerolight Flip Straw Stanley 1913 Clover Shimmer | 710ML;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Pink Messi;Garrafa Térmica Aerolight Flip Straw Pink Messi Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Striker Blue;Garrafa Térmica Aerolight Flip Straw Messi Blue Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Cornflower Gloss;Garrafa Térmica Aerolight Flip Straw Cornflower Gloss Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Peach Whip Gloss;Garrafa Térmica Aerolight Flip Straw Peach Whip Gloss Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Cream Rose Gold;Garrafa Térmica Aerolight Flip Straw Cream Rose Gold Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Terracota;Garrafa Térmica Aerolight Flip Straw Terracota Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Agave;Garrafa Térmica Aerolight Flip Straw Agave Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Dark Blossom;Garrafa Térmica Aerolight Flip Straw Dark Blossom Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Messi Black;Garrafa Térmica Aerolight Flip Straw Messi Black Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Prickly Pear;Garrafa Térmica Aerolight Flip Straw Prickly Pear Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Twilight;Garrafa Térmica Aerolight Flip Straw Twilight Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Honeydew Hypergrip;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913 | 710ml;False;True
14973498687848;Cooler  Térmico Sage Grey Stanley 1913;15L;Sage Grey;Cooler  Térmico Sage Grey Stanley 1913 | 15L;False;True
14973498687848;Cooler  Térmico Sage Grey Stanley 1913;15L;Twilight;Cooler Térmico Twilight Stanley 1913 | 15L;False;False
14973498655080;Cooler Térmico Sage Grey Stanley 1913;23L;Sage Grey;Cooler Térmico Sage Grey Stanley 1913 | 23L;False;True
14973498458472;Garrafa Térmica Aerolight Transit Toast Stanley 1913;354ml;Peach Rose;Garrafa Térmica Aerolight Transit Peach Rose Stanley 1913 | 354ml;False;False
14973498458472;Garrafa Térmica Aerolight Transit Toast Stanley 1913;354ml;Toast;Garrafa Térmica Aerolight Transit Toast Stanley 1913 | 354ml;False;True
14973496918376;Mochila Térmica Madeleine Mini Ash Stanley 1913;13.2L;Black;Mochila Térmica Madeleine Black Stanley 1913 | 13.2L;False;False
14973496918376;Mochila Térmica Madeleine Mini Ash Stanley 1913;13.2L;Sea Glass Plume;Mochila Térmica Madeleine Sea Glass Plume Stanley 1913 | 13.2L;False;False
